    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
  0 ,REFRIG.SCHWEPPES TONICA SACUC.LT.350ML   , 1.0   ,UN      ,  2.59  ,    2.59 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  1 ,AGUA TONICA ANTAR.SACUCARES 350ML        , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  2 ,AGUA TONICA ANTAR.LT.350ML               , 1.0   ,UN      ,  2.99  ,    2.99 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  3 ,OLEO DE SOJA SUAVIT PET 900ML            , 1.0   ,UN      ,  8.49  ,    8.49 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  4 ,RACAO FRISKIES CARNE AO MOLHO 85GR       , 1.0   ,UN      ,  3.19  ,    3.19 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  5 ,RACAO FRISKIES CARNE AO MOLHO 85GR       , 1.0   ,UN      ,  3.19  ,    3.19 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  6 ,RACAO FRISKIES CARNE AO MOLHO 85GR       , 1.0   ,UN      ,  3.19  ,    3.19 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  7 ,FAROFA YOKI MAND.500GR                   , 1.0   ,UN      ,  6.99  ,    6.99 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  8 ,MASSA PTAPIOCA BEIJUBOM 500GR            , 1.0   ,UN      ,  5.99  ,    5.99 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
  9 ,EXT.TOMATE FUGINI SACH.300GR             , 1.0   ,UN      ,  2.29  ,    2.29 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 10 ,MOLHO QUERO PRONTO TRAD.SACHET 340GR     , 1.0   ,UN      ,  1.59  ,    1.59 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 11 ,MOLHO QUERO PRONTO TRAD.SACHET 340GR     , 1.0   ,UN      ,  1.59  ,    1.59 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 12 ,AREIA PIPICAT CLASSIC 4KG                , 1.0   ,UN      ,  9.99  ,    9.99 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 13 ,FILE DE PEITO SEARA RESFR.BAND.KG        , 0.72  ,KG      , 26.99  ,   19.43 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 14 ,FILE DE PEITO SEARA RESFR.BAND.KG        , 0.692 ,KG      , 26.99  ,   18.67 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 15 ,FILE DE SOBRECOXA SEM PELE SEARA KG      , 0.696 ,KG      , 21.99  ,   15.3  ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 16 ,CEBOLA KG                                , 0.67  ,KG      ,  4.99  ,    3.34 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
