data,link
2022-04-06T11:20:36-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378116670001480650020003832991007494052|2|1|1|535D28813E5BF2DBEDDDBD340D68FEEC9E2F7810"
2022-04-06T11:20:57-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220478116670001480650100005504591009872570|2|1|1|05A70607F3BA79DEDCEA9E380242023A02226F3F"
2022-04-06T11:21:14-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220484831478000153650010020228221533490613|2|1|1|9E6BB347B8628FC0830DCAE411359201FBEFA7A6"
2022-04-06T11:21:47-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220478413325001750650700000954041558890576|2|1|1|211E55A0523B1F16C511F6D9D3584B13125F242E"
2022-04-06T11:22:09-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220376189406002250651100003164341301627121|2|1|1|91675DC0D7EB19B0E7BF2C4997971F60CB991283"
2022-04-06T18:19:39-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220442591651074180650010000909431689736686|2|1|1|2728F9827265B5DC8E978B9DB146E2BC60FCEB84"
2022-04-07T21:27:01-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378116670001480650100005438241009116441|2|1|1|8D7B7FC525D252FBAC4B084CBF5A37AD8380A77B"
2022-04-07T21:27:11-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220278116670001480650090003729061008685902|2|1|1|E2D46E889034C52E802A3110F1D2E9D368B7AA84"
2022-04-07T21:27:27-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220278116670001641650020001762301002035808|2|1|1|939184A5006DA6A1762FC5F38D81BC35C0533DD1"
2022-04-07T21:27:39-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378116670001480650140002253131007732615|2|1|1|5A1307BA9CE4B066898B536FF26E0EE352DA275E"
2022-04-07T21:27:58-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220204686827000909650020000478561000005695|2|1|2|5A7AA46D55848375A4A17F07C7E2EA5498833CE2"
2022-04-07T21:28:13-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378116670001480650100005484931009163006|2|1|1|A4E63AEC9FE98F0E61E45ACD4AF8AC8EC96B2B8C"
2022-04-07T21:28:28-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220332973482000314650050000803961008454316|2|1|2|9416C319B1674F876174AFCCA6B14F979AFDFA23"
